Vendor,VendorNo,SingleAmt,AggregateAmt,Division,QuestionnaireDate,STATUS,TradeDescription,RequestFirstDate,RequestSecondDate,RequestThirdDate,Chk_ProjHistory,Chk_Financials,Chk_BackLog,Chk_SalesHistory,Chk_BondHistory,Chk_ProjectList,Chk_KeyOfficer,Chk_OSHA_Log,Chk_Questionnaire,ZeroHarmQ,VendorEmail,VendorAddr,VendorCity,VendorState,VendorZip,ExpirationDate,CurrBal,MinorityStatus,Folder,VendorTaxID,vendorrank,QR,SR,HR,CR,QnLink,QProjects,PrjCnt,CmpltCnt,WatchList,WatchListPeople,RecID,PLookupVID,TypicalJobSize
Spiniello Companies,NULL,7000000,10000000,Florida,NULL,Finaled,Div 33 - Utilities,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"354 Eisenhower Parkway, Suite 1850",Livingston,NJ,07039,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39410,NULL,0
"Talon Industries, Inc.",NULL,3000000,5000000,Texas,NULL,Expired,Div 33 - Utilities,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,1104 Enterprise Place,Arlingtonn,TX,76001,10/31/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39327,NULL,0
"M. E. Construction, Inc.",NULL,7000000,10000000,Florida,NULL,Finaled,Div 04 - Masonry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,5025 W. Orange Ave,Orlando,FL,32809,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39365,NULL,0
"Birdi Systems, Inc.",NULL,3000000,5000000,Florida,NULL,Finaled,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,"4640 Sub Chaser Court, Suite 106",Jacksonville,FL,32244,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39353,NULL,0
"Tiffin Scenic Studios, Inc.",NULL,1000000,1750000,All Other Locations,NULL,Finaled,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,146 Riverside Drive,Tiffin,OH,44883,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39411,NULL,0
"Poltrona Frau Group North America, Inc.",NULL,1000000,1000000,All Other Locations,NULL,Finaled,Div 12 - Furnishings,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,181 Madison Ave,New York,NY,10016,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39366,NULL,0
"Mann Mechanical Company, Inc.",NULL,5000000,7000000,Georgia,NULL,Finaled,Div 23 - HVAC,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39395,NULL,0
"Snap-Wall, Inc.",NULL,500000,500000,"Washington, D.C.",NULL,Expired,Div 10 - Specialties,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39203,NULL,0
M and P System,NULL,500000,500000,Carolinas,NULL,Finaled,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,755 Worthville Street,Randleman,NC,27317,04/30/2025,0,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39461,NULL,0
Varnedoe Construction Inc,NULL,0,0,Carolinas,NULL,Negotiating,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,414 WOODLAWN AVE Gr,Greensboro,NC,27401,NULL,0,,VARNEDOECO_47-1537530\2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,,39259,NULL,0
