Identifier,Tag: Name,Service,Type,Region,Tag: Application Environment,Tag: Class,Tag: Creator,Tag: Landscape,Tag: Lanscape,Tag: Owner,Tag: Patch Group,Tag: Requestor,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: backupAction,Tags
i-05446b5af16c8ebd3,AWSWESTDC1,EC2,Instance,us-west-2,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),(not tagged),6
i-0a14180972b51922c,AWSWESTDC2,EC2,Instance,us-west-2,Domain Controller,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),(not tagged),6
i-0a251d1e33ebcc971,AWSOKTA02,EC2,Instance,us-west-2,Okta,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-04b4949e192846ec2,AWSDUOMFA02,EC2,Instance,us-west-2,MfA,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,7
i-07de4fef31c99db6e,Meraki_vMX-M,EC2,Instance,us-west-2,VPN,Network Services,(not tagged),Production,(not tagged),Infrastructure,(not tagged),gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Monthly-Snaps,7
i-059ecaa65091bd1de,AWSAAA01,EC2,Instance,us-east-1,RADIUS and TACACS+,Network Services,(not tagged),Production,(not tagged),Infrastructure,Servers.NoNotify2,gshort@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-06962614d236610a6,AWSOKTA01,EC2,Instance,us-east-1,RADIUS and TACACS+,Network Services,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify2,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0b3fe56f6714018d9,AWSINTDEV01,EC2,Instance,us-east-1,Integrations,Integrations,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify2,jmussell@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
i-0ca36e00109bc0311,AWSEVOLVE01,EC2,Instance,us-east-1,Playbook - Evolve,Application,(not tagged),Production,(not tagged),Architecture,Servers.NoNotify2,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Daily-Snaps,8
i-0179e17205a355495,AWSEVOLVEDEV,EC2,Instance,us-east-1,Playbook - Evolve,Application,(not tagged),NonProduction,(not tagged),Architecture,Servers.NoNotify2,jmcpherson@balfourbeattyus.com,(not tagged),(not tagged),(not tagged),AWSPRD-Weekly-Snaps,8
