Name,SamAccountName,Description,CanonicalName
Administrator,control,Built-in account for administering the computer/domain,BBC.Local/Users/Administrator
"Charter, Backup",charterbkupexec,"Charter, Backup","BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Charter, Backup"
sa_arcsight,sa_arcsight,,BBC.Local/Datacenter/Service Accounts/BAE Systems/sa_arcsight
awsbackup,awsbackup,Used by the storage Gateway for backups,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/awsbackup
SCCMSQLsvc,SCCMSQLsvc,SCCM SQL Service account,BBC.Local/Datacenter/Service Accounts/SCCMSQLsvc
SCCMRpt,SCCMRpt,SCCM Reporting,BBC.Local/Datacenter/Service Accounts/SCCMRpt
DFW Training Laptops,dfwtraininglaptops,9th floor training laptops,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW Training Laptops
MarketingScan,MarketingScan,Profile for Marketing Dept. Scanner Computer,BBC.Local/BalfourBeattyUS/Florida/_Orlando Office/MarketingScan
sescanner,sescanner,AccT for Scan Router (DO NOT CHANGE PW),BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/sescanner
WASBackup,WASBackup,Backup Exec Account for Washington,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/Users/WASBackup
DFW Audit Room,dfwauditroom,6th floor audit room 6,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW Audit Room
CLT Conference Line,cltconferenceline,CLT Office Conference Line,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Conference Line
JBitService,JBitService,Jitterbit Integration Service Account,BBC.Local/Datacenter/Service Accounts/JBitService
"Plantation, Office",Office_Plantation,Plantation Office,"BBC.Local/BalfourBeattyUS/Florida/Florida Locations/Plantation, Office"
"Dallas Citymark, Office",Dallas_Citymark,Dallas Citymark Office,"BBC.Local/BalfourBeattyUS/DFW/DFW Locations/Dallas Citymark, Office"
"Orlando, Office",Office_Orlando,Orlando Office,"BBC.Local/BalfourBeattyUS/Florida/Florida Locations/Orlando, Office"
SMCBackup,SMCBackup,Veritas Backup Exec Service Account,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/Houston/SMCBackup
JDEService,JDEService,JDEdwards Service Account,BBC.Local/Datacenter/Service Accounts/JDEService
EXArchive,EXArchive,Admin Account for Email Extender - Created 10/08/2007 Eddie Jacob,BBC.Local/Datacenter/Service Accounts/Retired Service Accounts/EXArchive
WASFax5520,WASFax5520,Fax Line Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASFax5520
WASH WSH Conference Room,WashWSHConfRm,Washington Conf Room Calendar Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH WSH Conference Room
WASFax5524,WASFax5524,Fax Line Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASFax5524
HyperionLDAP,HyperionLDAP,Service account for Hyperion LDAP Queries (Secure-24),BBC.Local/Datacenter/Service Accounts/HyperionLDAP
"Charlotte, Office",Office_Charlotte,Charlotte Office,"BBC.Local/BalfourBeattyUS/Southeast/Southeast Locations/Charlotte, Office"
"Fairfax, Office",Office_Fairfax,Fairfax Office,"BBC.Local/BalfourBeattyUS/Washington/Washington Locations/Fairfax, Office"
SMCDNSUpdate,SMCDNSUpdate,Used by DHCP to dynamically update DNS,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/System Users/SMCDNSUpdate
Video Conferencing Dallas CityMark II,VideoConfDallasCity,Video Conferencing Dallas CityMark II,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Dallas CityMark II
SAN Balboa Park,SANBalboaPark,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Balboa Park
SAN La Jolla,SANLaJolla,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN La Jolla
SAN The Cave,SANTheCave,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN The Cave
SAN Del Mar,SANDelMar,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Del Mar
Video Conferencing Plantation,VideoConfPlantation,Plantation Video Conferencing,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/Video Conferencing Plantation
PLA Miami Dade Conference Room,plamiamiRM,Room 219 Miami Conference Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/PLA Miami Dade Conference Room
