NetworkId,Name
L_583216151744485877,West-OR-ilani Hotel
L_583216151744488871,Civils-West-CA-Woodland Yard 
L_583216151744488911,Civils-West-CA-Fairfield CA 
L_583216151744488999,Civils-West-Caltrain San Francisco
L_583216151744489002,West-CA-Civils-Stock-Fairfield-Q2LY-63VG-KSF8 
L_583216151744489345,West-WA-MSCR-MX100 
L_583216151744490237,West-WA-KingCoCFJC
N_583216151744517810,West-OR-KaiserInterstate
N_583216151744518454,West-OR-PDXProjects
N_583216151744518958,Civils-West-Caltrain Office
N_583216151744518974,West-OR-Portland Main Office 
N_583216151744519913,West-WA-Seattle Office  
