"networkID","networkName","totalReceivedKilobytes","totalSentKilobytes"
"L_583216151744485873","East-Switches","0","0"
"L_583216151744488335","Civils-East-Fleming Island","7571390","2846746"
"L_583216151744488340","Civils-East-Goldsboro Office","21746595","9889018"
"L_583216151744488898","Civils-East-VA-Fredericksburg VA","0","0"
"L_583216151744488962","Civils-East-NC-Maysville ByPass","0","0"
"L_583216151744488997","Civils-East-VA-Lake Kilby WTP","2772036","1411362"
"L_583216151744489595","East-FL-Orlando Main Office","19297826","20371247"
"L_583216151744489596","East-FL-Plantation Main Office","30139316","13381424"
"L_583216151744489598","East-NC-Raleigh Main Office","5219921","4168720"
"L_583216151744489599","East-NC-Charlotte Main Office","17617742","9880536"
"L_583216151744489612","East-VA-FairfaxOffice","13916744","25255555"
"L_583216151744489784","East-VA-Upper Saddle River Tax Office","1437642","436681"
"L_583216151744490376","East-VA-Hoffman Estates","7183853","7779579"
"L_583216151744491112","East-FL -Broward","13588282","7570878"
"L_583216151744491282","East-Wilmington-NC-Office","10227694","3954413"
"L_583216151744491317","East-MD-Bowie State","988461","870713"
"L_583216151744491574","East-Atlanta 300 Galleria Office","28207346","119039393"
"N_583216151744517011","East-NC-Devin Radziej","1313310","524117"
"N_583216151744517406","East-FL-Jacksonville West Bay Street","0","0"
"N_583216151744517675","East-FL-Tavistock Lake Nona","6031376","2884127"
"N_583216151744517800","East-NC-Duke Arringdon","543367","199454"
"N_583216151744517808","East-NC-Corning HQ","0","0"
"N_583216151744518183","East-NC-Duke MSRB III","430394","305325"
"N_583216151744518260","East-NC-Kane Walter Tower","2145212","1599268"
"N_583216151744519431","AWS-PRD-East","541940355","408110310"
"N_583216151744520409","East-NC-NCAT NSC","2099474","1458717"
"N_583216151744520625","East-FAI-200 Stovall","0","0"
"N_583216151744521428","East-NC-Wake County Library","0","0"
"N_583216151744521429","Civils-East-Military Cutoff","3837782","1656266"
"N_583216151744521764","Civils-East-Bloomingdale","1077995","435974"
"N_583216151744522301","East-NC-SER YMCA Elementary School","939524","6009885"
"N_583216151744523433","East-FL-Gable Station","0","0"
"N_583216151744523445","East-NC-Jasper","0","0"
"N_583216151744523457","East-FL-Camden520","0","0"
"N_583216151744523638","East-FL-SWO Attraction 2019","392586","156665"
"N_583216151744525420","East-NC-MRMC ED Site 1","39399","97627"
"N_583216151744525421","East-NC-MRMC ED Site 2","1625619","882146"
"N_583216151744525916","East-FAI-VCBR","1776823","847510"
"N_583216151744525970","East-NC-Duke North Pavilion","1482234","1613628"
"N_583216151744527832","Civils-East-NC-Fayetteville","2011260","743143"
"N_583216151744529356","East-VA-Wharf Phase II","5297742","3176824"
"N_583216151744530061","East-NC-Charlotte-CMS South Steam K-8","0","0"
"N_583216151744530751","East-MD-Maizon","1645525","852166"
"N_583216151744531121","East-FL-Gable Station Jobsite Office","0","0"
"N_583216151744531442","East-VA-HTC","0","0"
"N_583216151744531482","East-SC-Charleston Office","714738","362022"
"N_583216151744531495","East-NC-RDU CMR","8597686","1500575"
"N_583216151744532863","Civils-East-NC-New Bern","4975268","2366405"
"N_583216151744533311","Civils-East-NC-Equipment Yard","2107312","2915383"
"N_583216151744533312","East-FL-P89","0","0"
"N_583216151744533392","East-2100 Penn-Avenue","2921952","2543332"
"N_583216151744533653","East-NC-Atrium Health PMP1","0","0"
"N_583216151744533685","East-14th and Spring","5097502","3448313"
"N_583216151744534439","East-FL-Jax University","854547","218154"
"N_583216151744534487","East-Wellington Bay","2437723","1532593"
"N_583216151744534509","East-Museum Place","3811693","1722109"
"N_583216151744534541","East-Herbert Akins Road MS","730190","353626"
"N_583216151744535208","East-NC-BBE Warehouse","3118529","729369"
"N_583216151744535411","East-DC-PBGC","2312130","2107871"
"N_583216151744535427","East-VA-400 11th Street","1049027","524315"
"N_583216151744535561","East-Fl-Icon Marina","3539048","1595688"
"N_583216151744535562","East-FL-Magic Training Facility","3370616","1344328"
"N_583216151744535563","East-Fairfax-Manassas Park","1754140","1075300"
"N_583216151744535572","East-NC-RAL-Wilson YMCA","1380423","1229161"
"N_583216151744535648","East-Ft Eustis-Battalion Complex","2957738","2393137"
"N_583216151744535649","East-NC-Downtown Cary Park","2625214","1743047"
"N_583216151744535735","East-Ga-Thompson Savannah","517376","353219"
"N_583216151744536330","East-ATL-KrogStreet-Extension","2135651","1698915"
"N_583216151744536345","East-ATL-Jobsite Test","2135651","1698915"
"N_583216151744536417","East-RD Las Olas","275395","73999"
