"networkID","networkName","totalReceivedKilobytes","totalSentKilobytes"
"L_583216151744488335","Civils-East-Fleming Island","7383053","2745806"
"L_583216151744488340","Civils-East-Goldsboro Office","21305898","9730764"
"L_583216151744488898","Civils-East-VA-Fredericksburg VA","0","0"
"L_583216151744488962","Civils-East-NC-Maysville ByPass","0","0"
"L_583216151744488997","Civils-East-VA-Lake Kilby WTP","2607073","1325531"
"L_583216151744489595","East-FL-Orlando Main Office","16490849","12604761"
"L_583216151744489596","East-FL-Plantation Main Office","21439252","11143454"
"L_583216151744489598","East-NC-Raleigh Main Office","21439252","11143454"
"L_583216151744489599","East-NC-Charlotte Main Office","16274024","9307658"
"L_583216151744489612","East-VA-FairfaxOffice","12444544","23785037"
"L_583216151744489784","East-VA-Upper Saddle River Tax Office","1380480","418514"
"L_583216151744490376","East-VA-Hoffman Estates","6662411","7511442"
"L_583216151744491112","East-FL -Broward","12852663","7266150"
"L_583216151744491282","East-Wilmington-NC-Office","9708365","3741111"
"L_583216151744491317","East-MD-Bowie State","865987","805050"
"L_583216151744491574","East-Atlanta 300 Galleria Office","26460683","111479463"
"N_583216151744517011","East-NC-Devin Radziej","1015998","449008"
"N_583216151744517406","East-FL-Jacksonville West Bay Street","0","0"
"N_583216151744517675","East-FL-Tavistock Lake Nona","5495504","2352136"
"N_583216151744517800","East-NC-Duke Arringdon","521382","192860"
"N_583216151744517808","East-NC-Corning HQ","0","0"
"N_583216151744518183","East-NC-Duke MSRB III","374110","274629"
"N_583216151744518260","East-NC-Kane Walter Tower","1970385","1508766"
"N_583216151744519431","AWS-PRD-East","532757005","396430888"
"N_583216151744520409","East-NC-NCAT NSC","1914152","1388402"
"N_583216151744520625","East-FAI-200 Stovall","0","0"
"N_583216151744521428","East-NC-Wake County Library","0","0"
"N_583216151744521429","Civils-East-Military Cutoff","3639941","1569959"
"N_583216151744521764","Civils-East-Bloomingdale","1045527","424465"
"N_583216151744522301","East-NC-SER YMCA Elementary School","861466","5975512"
"N_583216151744523433","East-FL-Gable Station","0","0"
"N_583216151744523445","East-NC-Jasper","0","0"
"N_583216151744523457","East-FL-Camden520","0","0"
"N_583216151744523638","East-FL-SWO Attraction 2019","331762","134415"
"N_583216151744525420","East-NC-MRMC ED Site 1","37912","96319"
"N_583216151744525421","East-NC-MRMC ED Site 2","1511030","819475"
"N_583216151744525916","East-FAI-VCBR","1575604","765453"
"N_583216151744525970","East-NC-Duke North Pavilion","1427776","1581571"
"N_583216151744527832","Civils-East-NC-Fayetteville","1873101","694635"
"N_583216151744529356","East-VA-Wharf Phase II","4764357","2959651"
"N_583216151744530061","East-NC-Charlotte-CMS South Steam K-8","0","0"
"N_583216151744530751","East-MD-Maizon","1455003","747707"
"N_583216151744531121","East-FL-Gable Station Jobsite Office","0","0"
"N_583216151744531442","East-VA-HTC","0","0"
"N_583216151744531482","East-SC-Charleston Office","653994","315743"
"N_583216151744531495","East-NC-RDU CMR","8476000","1342891"
"N_583216151744532863","Civils-East-NC-New Bern","4685885","2238130"
"N_583216151744533311","Civils-East-NC-Equipment Yard","2013041","2855007"
"N_583216151744533312","East-FL-P89","0","0"
"N_583216151744533392","East-2100 Penn-Avenue","2659161","2406553"
"N_583216151744533653","East-NC-Atrium Health PMP1","0","0"
"N_583216151744533685","East-14th and Spring","4672271","3261892"
"N_583216151744534439","East-FL-Jax University","837534","209632"
"N_583216151744534487","East-Wellington Bay","2252071","1458075"
"N_583216151744534509","East-Museum Place","3397278","1576783"
"N_583216151744534541","East-Herbert Akins Road MS","680710","330376"
"N_583216151744535208","East-NC-BBE Warehouse","3039734","685866"
"N_583216151744535411","East-DC-PBGC","2065491","1981143"
"N_583216151744535427","East-VA-400 11th Street","974262","492933"
"N_583216151744535561","East-Fl-Icon Marina","3263605","1513236"
"N_583216151744535562","East-FL-Magic Training Facility","2763897","1123059"
"N_583216151744535563","East-Fairfax-Manassas Park","1591483","995583"
"N_583216151744535572","East-NC-RAL-Wilson YMCA","1308287","1194048"
"N_583216151744535648","East-Ft Eustis-Battalion Complex","2769015","2290690"
"N_583216151744535649","East-NC-Downtown Cary Park","2517847","1675527"
"N_583216151744535735","East-Ga-Thompson Savannah","507830","345959"
"N_583216151744536330","East-ATL-KrogStreet-Extension","1856993","1556024"
"N_583216151744536345","East-ATL-Jobsite Test","1856993","1556024"
"N_583216151744536417","East-RD Las Olas","210699","44396"
