"Identifier","Tag: Name","Service","Type","Region","Tag: CostCentre","Tag: Environment","Tag: ManagedStackSource","Tag: aws:cloudformation:logical-id","Tag: aws:cloudformation:stack-id","Tag: aws:cloudformation:stack-name","Tag: lambda:createdBy","Tags"
"i-017f85d1a1c9ad06b","PingTest","EC2","Instance","us-east-1","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","1"
"i-0996ea92defa6cdc3","PingTest2","EC2","Instance","us-east-1","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","(not tagged)","1"
"ds058-satisfactyardimapping-ExtractFunction-g5KhLHkTLpev","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","ExtractFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds058-satisfactyardimapping/6f929040-e913-11ed-87ba-12a5064106b1","ds058-satisfactyardimapping","SAM","4"
"ds057-projectionoperatingrev-LoadFunction-wVTxFx99jLNA","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","LoadFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds057-projectionoperatingrev/b3ae7540-da05-11ed-9ee1-0e9286f7b887","ds057-projectionoperatingrev","SAM","4"
"ds057-projectionoperatingrev-PreIngestionFunction-ArNSOTbyrmDT","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","PreIngestionFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds057-projectionoperatingrev/b3ae7540-da05-11ed-9ee1-0e9286f7b887","ds057-projectionoperatingrev","SAM","4"
"ds056-afannualcel-LoadFunction-ydfTD7nu6xvu","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","LoadFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds056-afannualcel/5434cd90-d48c-11ed-a719-0e16035a060b","ds056-afannualcel","SAM","4"
"ds056-afannualcel-ExtractFunction-IMxaxyYwUJRO","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","ExtractFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds056-afannualcel/5434cd90-d48c-11ed-a719-0e16035a060b","ds056-afannualcel","SAM","4"
"ds057-projectionoperatingrev-ExtractFunction-KAZUkMa4UbYO","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","ExtractFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds057-projectionoperatingrev/b3ae7540-da05-11ed-9ee1-0e9286f7b887","ds057-projectionoperatingrev","SAM","4"
"ds058-satisfactyardimapping-PreIngestionFunction-cMZZefC82P6t","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","PreIngestionFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds058-satisfactyardimapping/6f929040-e913-11ed-87ba-12a5064106b1","ds058-satisfactyardimapping","SAM","4"
"ds058-satisfactyardimapping-TransformFunction-riBxEGnelRDq","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","TransformFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds058-satisfactyardimapping/6f929040-e913-11ed-87ba-12a5064106b1","ds058-satisfactyardimapping","SAM","4"
"ds056-afannualcel-TransformFunction-9pw9yTZTVsHj","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","TransformFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds056-afannualcel/5434cd90-d48c-11ed-a719-0e16035a060b","ds056-afannualcel","SAM","4"
"ds058-satisfactyardimapping-LoadFunction-MFzLIMwizX5S","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","LoadFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds058-satisfactyardimapping/6f929040-e913-11ed-87ba-12a5064106b1","ds058-satisfactyardimapping","SAM","4"
"ds056-afannualcel-PreIngestionFunction-W38b7GGR696c","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","PreIngestionFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds056-afannualcel/5434cd90-d48c-11ed-a719-0e16035a060b","ds056-afannualcel","SAM","4"
"ds057-projectionoperatingrev-TransformFunction-JxAAeiGLgfZB","(not tagged)","Lambda","Function","us-east-1","(not tagged)","(not tagged)","(not tagged)","TransformFunction","arn:aws:cloudformation:us-east-1:026297738052:stack/ds057-projectionoperatingrev/b3ae7540-da05-11ed-9ee1-0e9286f7b887","ds057-projectionoperatingrev","SAM","4"
