Identifier,Tag: Name,Service,Type,Region,Tag: CostCentre,Tag: Domain,Tag: Environment,Tag: ManagedStackSource,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags
i-035fe53350edb9552,vmx,EC2,Instance,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
i-099ca135a22143ff9,ICMPTest,EC2,Instance,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),1
2982-s3-access-logs,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
aws-sam-cli-managed-default-samclisourcebucket-g2m9mfxkaxd0,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),AwsSamCli,SamCliSourceBucket,arn:aws:cloudformation:us-east-1:593301682982:stack/aws-sam-cli-managed-default/eef17100-6377-11ea-8cb5-0a0207fddeaf,aws-sam-cli-managed-default,(not tagged),4
bb-us-azure-solution-assessment-1,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bb-us-lake-prod,(not tagged),S3,Bucket,us-east-1,us-datalake,bb-us-lake-prod,us-lake-production,(not tagged),S3Bucket1,arn:aws:cloudformation:us-east-1:593301682982:stack/cfS3Buckets/6e18ee00-6381-11ea-8ac3-12709ad3d671,cfS3Buckets,(not tagged),6
cf-templates-1rogohydld4fn-us-east-1,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cfcloudtrail-s3cloudtrailbucket-12x4euqoo39rh,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),S3CloudTrailBucket,arn:aws:cloudformation:us-east-1:593301682982:stack/cfCloudTrail/f2bb0cf0-6508-11ea-895d-1245bb6cedee,cfCloudTrail,(not tagged),3
config-bucket-593301682982,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
pipprod-cloudcheckr-cur,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
aws-controltower-NotificationForwarder,(not tagged),Lambda,Function,us-west-2,(not tagged),(not tagged),(not tagged),(not tagged),ForwardSnsNotification,arn:aws:cloudformation:us-west-2:593301682982:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-73dda381-6753-444a-91d7-4335c1fa53fa/91b9ccf0-8c62-11ed-9b8c-06985c3ef981,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-73dda381-6753-444a-91d7-4335c1fa53fa,(not tagged),3
2d9ed20d-1cf5-4e38-84ac-0aeea5d9884f,(not tagged),KMS,Key,us-east-2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
ds022-birddoglocation-PreIngestionFunction-IDCRWCMEL6MH,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds022-birddoglocation/00a365c0-d669-11ea-a2dd-0e4c53e0aefd,ds022-birddoglocation,SAM,4
ds023-adplocation-LoadFunction-159K8EFMK808H,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds023-adplocation/bac6d8e0-d66b-11ea-baca-121b58656156,ds023-adplocation,SAM,4
ds009-adp-TransformFunction-1QMXMLDIZO4Z3,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds009-adp/df7e67c0-d65c-11ea-a528-0e660dd6b3d4,ds009-adp,SAM,4
ds019-thirdpartycontractorattendance-LoadFunction-1WR0WXD89OBPC,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds019-thirdpartycontractorattendance/64053170-d66e-11ea-9bff-12eeb59f3ad1,ds019-thirdpartycontractorattendance,SAM,4
ds008-birddog-LoadFunction-NI8WICIuSiqQ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds008-birddog/ac65a020-221d-11ec-9cce-125bddb2acd9,ds008-birddog,SAM,4
ds043-staffingturnoverdetail-TransformFunction-UMwx99feAuh2,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds043-staffingturnoverdetail/3132bec0-03d5-11ed-90e2-0af0e7f56f01,ds043-staffingturnoverdetail,SAM,4
ds038-feerevenueprojectmapping-ExtractFunction-f9ddIoz8y0Su,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds038-feerevenueprojectmapping/b5684ff0-9e74-11ec-8ff6-0e5c5f996043,ds038-feerevenueprojectmapping,SAM,4
ds045-staffingturnovermapping-ExtractFunction-pPAKcGFpE1CB,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds045-staffingturnovermapping/97888d10-07bf-11ed-9c09-0ebf23891dc1,ds045-staffingturnovermapping,SAM,4
ds021-budgetadpmapping-LoadFunction-1XPDAVB31HMIM,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds021-budgetadpmapping/aa3f9290-d667-11ea-8218-12e346dd5d0c,ds021-budgetadpmapping,SAM,4
aws-controltower-NotificationForwarder,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ForwardSnsNotification,arn:aws:cloudformation:us-east-1:593301682982:stack/StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-2a78477b-ae3d-4f72-99a2-18ce92ea51c7/2f0c8760-9091-11eb-b209-0e688fb565d9,StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-2a78477b-ae3d-4f72-99a2-18ce92ea51c7,(not tagged),3
ds034-staffing-LoadFunction-rlsWzSLDu1av,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds034-staffing/6b325ae0-47ce-11ec-9866-0a6822989155,ds034-staffing,SAM,4
ds015-lbpabatement-ExtractFunction-NCD2SOF9TBEP,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds015-lbpabatement/a0b00ce0-d663-11ea-b1c5-0ac853a0932f,ds015-lbpabatement,SAM,4
ds053-complaintsmonthlysnapsh-PreIngestionFunction-QhDKyRw06l0u,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds053-complaintsmonthlysnapshot/a37eeb90-9e5b-11ed-a13a-0eea8eb3e84f,ds053-complaintsmonthlysnapshot,SAM,4
ds025-staffbudgetcodes-TransformFunction-13QA3N03D1DG5,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds025-staffbudgetcodes/5751d680-d66a-11ea-817b-0e1cfc6fd327,ds025-staffbudgetcodes,SAM,4
