Identifier,Tag: Name,Service,Type,Region,Tag: CostCentre,Tag: Environment,Tag: ManagedStackSource,Tag: Schedule,Tag: User,Tag: aws:cloud9:environment,Tag: aws:cloud9:owner,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: backupAction,Tags
i-09a5a8678824da273,powerbigw1b.us-datalake-sharedservices,EC2,Instance,us-east-1,us-datalake,sharedservices,(not tagged),0-1-0-1|0 8 * * 1-5|0 18 * * 1-5|0 6 * * 7|0 6 * * 1-5|30|30,(not tagged),(not tagged),(not tagged),Instance1b,arn:aws:cloudformation:us-east-1:569287770824:stack/cfPowerBIGateways/5178f480-6489-11ea-960f-1211ae29fc7a,cfPowerBIGateways,PIP-Weekly-Snaps,8
i-0757208f850e591d8,powerbigw1a.us-datalake-sharedservices,EC2,Instance,us-east-1,us-datalake,sharedservices,(not tagged),0-1-0-1|0 8 * * 1-5|0 18 * * 1-5|0 6 * * 7|0 6 * * 1-5|30|30,(not tagged),(not tagged),(not tagged),Instance1a,arn:aws:cloudformation:us-east-1:569287770824:stack/cfPowerBIGateways/5178f480-6489-11ea-960f-1211ae29fc7a,cfPowerBIGateways,PIP-Weekly-Snaps,8
i-018f9f026fd3c9a55,fileuploader1a.us-datalake-sharedservices,EC2,Instance,us-east-1,us-datalake,sharedservices,(not tagged),0-0-0-1|0 8 * * 1-5|0 18 * * 1-5|0 3 * * *|0 6 * * 1-5|30|30,(not tagged),(not tagged),(not tagged),Instance1a,arn:aws:cloudformation:us-east-1:569287770824:stack/cfFileUploaderInstance/71b838f0-6920-11ea-ad13-0e660dd6b3d4,cfFileUploaderInstance,PIP-Monthly-Snaps,8
i-0950103b5a068f0cb,aws-cloud9-PythonUpdate3-8-workspace-28b280ac1e704ba186bdb5907db5c4c1,EC2,Instance,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),28b280ac1e704ba186bdb5907db5c4c1,AIDAYJDBSALEMLER6BJVB,Instance,arn:aws:cloudformation:us-east-1:569287770824:stack/aws-cloud9-PythonUpdate3-8-workspace-28b280ac1e704ba186bdb5907db5c4c1/e31974d0-c573-11ec-a7f1-0abe0104de83,aws-cloud9-PythonUpdate3-8-workspace-28b280ac1e704ba186bdb5907db5c4c1,(not tagged),6
i-010440ca885b796a7,AWSSQLYARDI01,EC2,Instance,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),PIP-Monthly-Snaps,2
i-06be9fc668ba99b35,AWSDSDUOMFA01,EC2,Instance,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),PIP-Monthly-Snaps,2
aws-sam-cli-managed-default-samclisourcebucket-e5mt2prmd4me,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),AwsSamCli,(not tagged),(not tagged),(not tagged),(not tagged),SamCliSourceBucket,arn:aws:cloudformation:us-east-1:569287770824:stack/aws-sam-cli-managed-default/510e01a0-62b0-11ea-b6af-12e727a79a85,aws-sam-cli-managed-default,(not tagged),4
bb-data-shared-sechub-notifications,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
bb-us-azure-solution-assessment,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cf-templates-7dtrhrmoy3qs-us-east-1,(not tagged),S3,Bucket,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
