"networkID","networkName","totalReceivedKilobytes","totalSentKilobytes"
"L_583216151744485876","West-AZ-Phoenix Office","8238244","2394644"
"L_583216151744485877","West-OR-ilani Hotel","7419800","2815380"
"L_583216151744486179","Civils-West-Englewood Office","5622294","2709004"
"L_583216151744486627","West-CA-Warm Springs ES","240127","47298"
"L_583216151744487576","West-WA-PACCAR PTC","0","0"
"L_583216151744488705","West-CA-Newport Beach Office","2193236","810622"
"L_583216151744488871","Civils-West-Woodland CA Office","38365","5184"
"L_583216151744488882","Civils-RRPJV-Westminster Office","0","0"
"L_583216151744488911","Civils-West-CA-Fairfield CA","5552136","2197060"
"L_583216151744488999","Civils-West-STOCK-Fairfield-Q2LY-TZFQ-V925","0","0"
"L_583216151744489001","Civils-West-CA-Civils La Verne Ca","4180413","2530197"
"L_583216151744489002","Civils-West-Stock-Fairfield-Q2LY-63VG-KSF8","0","0"
"L_583216151744489345","West-WA-MSCR","24013012","9083279"
"L_583216151744490237","West-WA-KingCoCFJC","3249046","2046115"
"L_583216151744492061","West-CA-San Diego Office","22724928","57762844"
"N_583216151744517386","West-WA-Tukwila Warehouse","1480831","496696"
"N_583216151744517406","East-FL-Jacksonville West Bay Street","0","0"
"N_583216151744517810","West-OR-KaiserInterstate","618133","148237"
"N_583216151744518448","West-OR-River Forum 1 and 2 CapEx","625043","249814"
"N_583216151744518452","Civils-West-Caltrain Warehouse","1289542","708173"
"N_583216151744518454","West-OR-PDXProjects","6335187","2685766"
"N_583216151744518459","West-OR-Salem Public Library","339601","162245"
"N_583216151744518958","Civils-West-Caltrain Office","36007393","18167907"
"N_583216151744518974","West-OR-Portland Main Office","18630658","13852758"
"N_583216151744519008","West-CA-North High School Auditorium","0","0"
"N_583216151744519010","West-CA-IUSD PA6N Elementary School","0","0"
"N_583216151744519668","West-WA-1001 TI","7918740","3170750"
"N_583216151744519910","West-OR-Nike AirMI 2nd Floor TI","0","0"
"N_583216151744519912","West-WA-Amazon RTC","3851100","1461130"
"N_583216151744519913","West-WA-Seattle Office","11810390","43820134"
"N_583216151744521599","West-OR-NACO","969221","558692"
"N_583216151744521659","WEST-CA-Oceanside Rental Office","468446","369080"
"N_583216151744522291","Civils-West-CA-SacramentoEchoWater","8619796","2542504"
"N_583216151744522343","West-CA-Torrance Elementary School","8619796","2542504"
"N_583216151744522346","West-CA-Winchester ES","1141029","600856"
"N_583216151744522353","West-CA-Hoover High School","0","0"
"N_583216151744522733","West-CA-Richland ES Reconstruction-2","53998","105474"
"N_583216151744523409","West-CA-STOLEN - Hayward High School","0","0"
"N_583216151744523419","West-CA-Riverside","5007172","1290311"
"N_583216151744523434","West-CA-Del Sol High School-Q2QN-JF77-LKCA","0","0"
"N_583216151744523515","West-WA-Bellevue College","0","0"
"N_583216151744523531","West-WA-Blueshift","1870140","803310"
"N_583216151744523588","West-CA-La Puente HS","219861","82341"
"N_583216151744523658","West-CA-Ayala High School","0","0"
"N_583216151744523662","West-CA-Del Rosa ES","0","0"
"N_583216151744524189","West-CA-Russell Hall","2262833","676551"
"N_583216151744524643","West-CA-UCSD-Canyon Vista","0","0"
"N_583216151744524644","West-CA-Mira Mesa High School","2298324","1493904"
"N_583216151744524792","STOCK-West-SD-Edgewood HS","0","0"
