"networkID","networkName","totalReceivedKilobytes","totalSentKilobytes"
"L_583216151744486406","Central -Corp - Dallas Citymark","541629028","818627857"
"L_583216151744488693","Central-Texas-Austin Main Office","11631552","11385271"
"L_583216151744489736","Civils-Central-TX-Frucon Houston NEWPP","14108273","6988603"
"N_583216151744517408","Central-Texas-TFC Capitol Complex CMA","2045744","784946"
"N_583216151744517413","Central-Texas-TFC-Switches","2045744","784946"
"N_583216151744518363","Central-TX-Danforth Junior HS","0","0"
"N_583216151744522304","Central-DAL-Denton ES25","6170475","609383"
"N_583216151744522309","Central-DAL-New Mill St. Elementary","0","0"
"N_583216151744522352","Central-DAL-Denton Wilson ES","3762457","1169378"
"N_583216151744523382","Central-DAL-Guyer HS","3954337","1061568"
"N_583216151744523389","Central-DAL-The Link","6639404","3412653"
"N_583216151744523496","Central-DAL-The Epic","9654805","5042231"
"N_583216151744523497","Central-DAL-Fort Worth Texas Health","710291","299847"
"N_583216151744523602","Central-DAL-EPA Region 6 HQ","0","0"
"N_583216151744524841","Central-TX-Govalle Elementary School","0","0"
"N_583216151744525435","Central-TX-The Grove Block 3","0","0"
"N_583216151744526948","Central-DAL-TXHealthSurgeryTower","11712610","2699916"
"N_583216151744527268","Civils-Central-TX-Katy Freeway","2068081","4177022"
"N_583216151744527827","Central-DAL-Landry ES Reno and Addition","0","0"
"N_583216151744529307","Central-DAL-CFBISD Multipurpose Facility","0","0"
"N_583216151744529328","Central-DAL-JPMC Phase II","1238780","404646"
"N_583216151744530062","Central-DAL-Braswell HS Renovations","946189","441858"
"N_583216151744530098","Central-DAL-Strickland MS","53351","25658"
"N_583216151744530774","Central-Texas-Fort Worth Office","1546303","676576"
"N_583216151744530910","Central-DAL-2601 Victory Avenue","7376406","2937709"
"N_583216151744531665","Central-DAL-Kimpton Hotel","0","0"
"N_583216151744533854","Civils-Central-DAL-StockRoom","1800877","598073"
"N_583216151744533941","Central-DAL-TCC Legacy-BTS","3488357","1285434"
"N_583216151744534289","Central-DAL-The Link Jobsite","0","0"
"N_583216151744534290","Central-DAL-Atelier","1238597","566651"
"N_583216151744536286","Azure - SouthCentral","1238597","566651"
